date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-30,3176.95,3193.24,3192.43,3171.57,1214645.38,4.37,0.14,3186.066,3167.624,3149.952,1437034.3,1477476.62,1449565.82
2017-06-29,3174.98,3188.77,3188.06,3174.28,1287554.75,14.86,0.47,3179.154,3160.698,3145.607,1503792.52,1485664.85,1460086.02
2017-06-28,3183.63,3193.44,3173.2,3170.79,1465167.25,-18.0,-0.56,3171.032,3155.141,3141.335,1628969.57,1503863.62,1477216.14
2017-06-27,3183.42,3193.46,3191.2,3172.46,1482012.0,5.76,0.18,3167.634,3150.888,3138.534,1609312.65,1495693.94,1480432.99
2017-06-26,3157.0,3187.89,3185.44,3156.98,1735792.12,27.57,0.87,3157.396,3147.142,3134.477,1595293.85,1475811.01,1484294.14
2017-06-23,3138.44,3158.05,3157.87,3118.09,1548436.5,10.42,0.33,3149.182,3142.586,3130.597,1517918.95,1448961.22,1493200.45
2017-06-22,3152.24,3186.98,3147.45,3146.64,1913440.0,-8.76,-0.28,3142.242,3142.639,3125.907,1467537.17,1454253.91,1485685.3
2017-06-21,3148.99,3157.03,3156.21,3132.62,1366882.62,16.2,0.52,3139.25,3142.927,3121.632,1378757.67,1415187.57,1479168.6
2017-06-20,3148.02,3150.46,3140.01,3134.61,1411918.0,-4.36,-0.14,3134.142,3141.338,3117.606,1382075.22,1451728.32,1487666.33
2017-06-19,3122.16,3146.77,3144.37,3121.78,1348917.62,21.2,0.68,3136.888,3137.55,3115.137,1356328.17,1423976.49,1481888.04
2017-06-16,3126.37,3134.25,3123.17,3117.86,1296527.62,-9.32,-0.3,3135.99,3132.279,3112.425,1380003.5,1421655.02,1488752.18
2017-06-15,3125.59,3137.59,3132.49,3117.08,1469542.5,1.82,0.06,3143.036,3130.516,3111.489,1440970.65,1434507.19,1508262.88
2017-06-14,3146.75,3149.17,3130.67,3125.35,1383470.38,-23.07,-0.73,3146.604,3127.529,3110.512,1451617.48,1450568.66,1521673.54
2017-06-13,3134.01,3155.99,3153.74,3131.04,1283182.75,13.86,0.44,3148.534,3126.18,3108.49,1521381.42,1465172.05,1520330.38
2017-06-12,3149.53,3164.95,3139.88,3135.31,1467294.25,-18.52,-0.59,3138.212,3121.812,3104.979,1491624.8,1492777.26,1536013.29
2017-06-09,3147.45,3165.92,3158.4,3146.11,1601363.38,8.07,0.26,3128.568,3118.607,3101.06,1463306.55,1537439.68,1558319.53
2017-06-08,3136.47,3153.26,3150.33,3132.83,1522776.62,10.01,0.32,3117.996,3109.175,3095.779,1428043.72,1517116.69,1558648.59
2017-06-07,3101.76,3140.77,3140.32,3098.95,1732290.12,38.19,1.23,3108.454,3100.337,3092.289,1449519.85,1543149.63,1550043.09
2017-06-06,3084.54,3102.86,3102.13,3078.79,1134399.62,10.47,0.34,3103.826,3093.873,3089.204,1408962.67,1523604.34,1553692.04
2017-06-05,3102.11,3105.51,3091.66,3084.83,1325703.0,-13.88,-0.45,3105.412,3092.723,3089.249,1493929.73,1539799.6,1585078.88
2017-06-02,3094.23,3110.39,3105.54,3081.85,1425049.25,2.92,0.09,3108.646,3092.571,3091.035,1611572.8,1555849.34,1607777.47
2017-06-01,3108.42,3113.52,3102.62,3097.68,1630157.25,-14.56,-0.47,3100.354,3092.461,3092.525,1606189.65,1582018.58,1618406.97
2017-05-31,3125.33,3143.28,3117.18,3111.56,1529504.25,7.12,0.23,3092.22,3093.495,3094.58,1636779.4,1592778.41,1614010.59
2017-05-26,3101.29,3120.66,3110.06,3100.39,1559234.88,2.23,0.07,3083.92,3090.8,3096.453,1638246.0,1575488.71,1618980.33
2017-05-25,3055.34,3114.66,3107.83,3052.83,1913918.38,43.75,1.43,3080.034,3088.145,3098.56,1585669.48,1579249.33,1646915.12
2017-05-24,3047.57,3064.81,3064.08,3022.3,1398133.5,2.13,0.07,3076.496,3083.512,3100.211,1500125.88,1579199.39,1636158.26
2017-05-23,3069.39,3084.24,3061.95,3050.84,1783106.0,-13.73,-0.45,3084.568,3082.383,3103.736,1557847.5,1600180.49,1642960.74
2017-05-22,3087.17,3103.94,3075.68,3063.15,1536837.25,-14.95,-0.48,3094.77,3084.241,3107.114,1548777.42,1556936.56,1646944.16
2017-05-19,3086.71,3095.48,3090.63,3081.28,1296352.25,0.49,0.02,3097.68,3084.534,3111.988,1512731.42,1583779.74,1652483.16
2017-05-18,3082.33,3103.44,3090.14,3077.96,1486200.38,-14.3,-0.46,3096.256,3085.775,3116.062,1572829.17,1630358.15,1683102.54
2017-05-17,3107.8,3119.58,3104.44,3101.3,1686741.62,-8.52,-0.27,3090.528,3089.498,3120.089,1658272.9,1659705.6,1715411.56
2017-05-16,3082.87,3113.51,3112.96,3060.53,1737755.62,22.73,0.74,3080.198,3092.589,3124.703,1642513.47,1654795.36,1725405.16
2017-05-15,3085.93,3098.91,3090.23,3085.93,1356607.25,6.72,0.22,3073.712,3095.664,3130.163,1565095.7,1635242.76,1744885.98
2017-05-12,3054.11,3090.49,3083.51,3051.87,1596841.0,22.01,0.72,3071.388,3102.107,3137.955,1654828.05,1662471.94,1784309.89
2017-05-11,3036.79,3063.56,3061.5,3016.53,1913419.0,8.71,0.28,3075.294,3108.975,3147.578,1687887.13,1714580.91,1808141.28
2017-05-10,3078.17,3090.82,3052.79,3051.59,1607944.5,-27.74,-0.9,3088.468,3116.91,3158.194,1661138.3,1693117.13,1847161.23
2017-05-09,3064.85,3084.21,3080.53,3056.56,1350666.75,1.92,0.06,3104.98,3125.088,3170.003,1667077.25,1685740.99,1907404.63
2017-05-08,3090.07,3093.45,3078.61,3067.69,1805269.0,-24.43,-0.79,3117.616,3129.988,3179.446,1705389.83,1736951.75,1956218.6
2017-05-05,3114.77,3117.61,3103.04,3092.09,1762136.38,-24.33,-0.78,3132.826,3139.442,3189.847,1670115.83,1721186.59,1984009.63
2017-05-04,3127.11,3143.82,3127.37,3111.39,1779674.88,-7.98,-0.26,3142.656,3146.348,3198.745,1741274.7,1735846.94,2018546.81
2017-05-03,3138.31,3148.29,3135.35,3123.75,1637639.25,-8.36,-0.27,3145.352,3150.68,3205.892,1725095.95,1771117.52,2053723.16
2017-05-02,3147.23,3154.78,3143.71,3136.54,1542229.62,-10.95,-0.35,3145.196,3156.816,3210.25,1704404.72,1796014.95,2070062.66
2017-04-28,3144.02,3154.73,3154.66,3136.58,1628899.0,2.47,0.08,3142.36,3164.662,3213.576,1768513.67,1854529.19,2116518.92
2017-04-27,3131.35,3155.0,3152.19,3097.33,2117930.75,11.34,0.36,3146.058,3173.803,3217.909,1772257.35,1906147.84,2143126.76
2017-04-26,3132.92,3152.95,3140.85,3131.42,1698781.12,6.28,0.2,3150.04,3186.18,3222.946,1730419.18,1901701.64,2118085.22
2017-04-25,3123.89,3145.27,3134.57,3117.45,1534183.12,5.04,0.16,3156.008,3199.478,3229.252,1817139.1,2001205.33,2134072.51
2017-04-24,3164.25,3164.25,3129.53,3111.21,1862774.38,-43.62,-1.38,3168.436,3214.918,3235.996,1887625.18,2129068.26,2167252.31
2017-04-21,3170.29,3180.79,3173.15,3158.63,1647617.38,1.05,0.03,3186.964,3228.904,3241.947,1940544.7,2175485.45,2170628.17
2017-04-20,3165.67,3178.18,3172.1,3148.18,1908739.88,1.41,0.04,3201.548,3240.251,3245.55,2040038.33,2246832.66,2183113.12
2017-04-19,3184.67,3189.44,3170.69,3147.07,2132380.75,-26.02,-0.81,3222.32,3251.141,3250.026,2072984.1,2301246.67,2169035.78
2017-04-18,3215.4,3225.05,3196.71,3196.49,1886613.5,-25.46,-0.79,3242.948,3261.103,3254.032,2185271.55,2336328.8,2147690.96
2017-04-17,3229.95,3229.95,3222.17,3199.91,2127372.0,-23.9,-0.74,3261.4,3263.683,3256.069,2370511.35,2344110.38,2153651.89
2017-04-14,3276.14,3276.71,3246.07,3238.9,2145085.5,-29.89,-0.91,3270.844,3262.49,3258.408,2410426.2,2378508.65,2141991.29
2017-04-13,3265.22,3281.14,3275.96,3261.49,2073468.75,2.13,0.07,3278.954,3262.014,3258.192,2453627.0,2380105.67,2106764.86
2017-04-12,3283.84,3284.93,3273.83,3262.28,2693818.0,-15.14,-0.46,3279.962,3259.713,3256.361,2529509.25,2334468.81,2076564.44
2017-04-11,3266.22,3290.39,3288.97,3244.4,2812812.5,19.58,0.6,3279.258,3259.026,3254.52,2487386.05,2266939.69,2023710.42
2017-04-10,3285.46,3285.46,3269.39,3265.01,2326946.25,-17.23,-0.52,3265.966,3257.074,3250.71,2317709.4,2205436.36,1951406.16
2017-04-07,3280.62,3295.19,3286.62,3275.05,2361089.5,5.62,0.17,3254.136,3254.99,3248.078,2346591.1,2165770.89,1918744.41
2017-04-06,3272.19,3286.67,3281.0,3265.76,2452880.0,10.69,0.33,3245.074,3250.85,3245.779,2306584.35,2119393.59,1881055.63
2017-04-05,3235.66,3270.65,3270.31,3233.24,2483202.0,47.8,1.48,3239.464,3248.911,3243.85,2139428.37,2036824.89,1840443.74
2017-03-31,3206.25,3226.25,3222.51,3205.54,1964429.25,12.27,0.38,3238.794,3246.961,3242.028,2046493.32,1959053.11,1794329.73
2017-03-30,3235.14,3240.02,3210.24,3195.85,2471354.75,-31.07,-0.96,3248.182,3248.455,3241.818,2093163.32,1963193.41,1774649.44
2017-03-29,3252.87,3262.1,3241.31,3233.28,2161055.75,-11.64,-0.36,3255.844,3254.325,3242.808,1984950.67,1905473.94,1741689.24
2017-03-28,3265.63,3265.63,3252.95,3246.09,1617100.12,-14.01,-0.43,3256.626,3254.37,3243.089,1932202.82,1833424.05,1728975.23
2017-03-27,3268.92,3283.24,3266.96,3262.12,2018526.75,-2.49,-0.08,3258.358,3253.008,3242.528,1934221.4,1818660.06,1723742.38
2017-03-24,3247.35,3275.21,3269.45,3241.12,2197779.25,20.9,0.64,3255.128,3250.014,3240.613,1871612.9,1780481.15,1714106.58
2017-03-23,3245.81,3262.09,3248.55,3221.93,1930291.5,3.33,0.1,3248.728,3244.345,3239.812,1833223.5,1697375.96,1697420.8
2017-03-22,3246.22,3255.78,3245.22,3229.13,1897316.5,-16.39,-0.5,3252.806,3241.165,3239.953,1825997.2,1671717.93,1705496.12
2017-03-21,3250.25,3262.22,3261.61,3246.7,1627193.0,10.8,0.33,3252.114,3240.709,3240.753,1734645.28,1642717.66,1714357.19
2017-03-20,3241.11,3251.13,3250.81,3228.12,1705484.25,13.36,0.41,3247.658,3238.789,3240.339,1703098.73,1644062.6,1738834.07
2017-03-17,3271.87,3274.19,3237.45,3232.28,2005832.25,-31.49,-0.96,3244.9,3237.095,3239.797,1689349.4,1629606.34,1769635.91
2017-03-16,3247.16,3269.77,3268.94,3247.16,1894160.0,27.18,0.84,3239.962,3235.181,3238.028,1561528.43,1586105.48,1782458.39
2017-03-15,3235.4,3243.71,3241.76,3227.74,1440556.88,2.43,0.07,3229.524,3231.29,3236.062,1517438.65,1577904.55,1796228.36
2017-03-14,3235.25,3246.33,3239.33,3231.52,1469460.25,2.31,0.07,3229.304,3231.807,3234.624,1550790.05,1624526.41,1844954.37
2017-03-13,3209.45,3237.12,3237.02,3193.16,1636737.62,24.26,0.76,3229.92,3232.047,3233.554,1585026.48,1628824.7,1865880.4
2017-03-10,3213.73,3222.32,3212.76,3208.45,1366727.38,-3.99,-0.12,3229.29,3231.211,3232.545,1569863.28,1647732.01,1894139.27
2017-03-09,3233.7,3233.87,3216.75,3205.28,1673711.12,-23.91,-0.74,3230.4,3235.278,3231.742,1610682.52,1697465.64,1945477.36
2017-03-08,3240.53,3245.3,3240.66,3230.61,1607313.88,-1.75,-0.05,3233.056,3238.741,3230.063,1638370.45,1739274.32,1957611.97
2017-03-07,3233.09,3242.66,3242.41,3226.82,1640642.38,8.54,0.26,3234.31,3240.797,3226.379,1698262.77,1785996.71,1949706.37
2017-03-06,3217.33,3234.66,3233.87,3215.07,1560921.62,15.56,0.48,3234.174,3241.889,3221.913,1672622.92,1833605.55,1931842.97
2017-03-03,3219.2,3221.16,3218.31,3206.61,1570823.62,-11.72,-0.36,3233.132,3242.498,3218.069,1725600.75,1909665.49,1917396.03
2017-03-02,3250.52,3256.81,3230.03,3228.66,1812150.75,-16.9,-0.52,3240.156,3240.875,3214.162,1784248.75,1978811.3,1884967.22
2017-03-01,3240.07,3259.98,3246.93,3237.87,1906775.5,5.2,0.16,3244.426,3240.834,3210.619,1840178.2,2014552.17,1851298.07
2017-02-28,3225.97,3242.68,3241.73,3225.97,1512443.12,13.07,0.41,3247.284,3237.44,3205.75,1873730.65,2065382.32,1811996.21
2017-02-27,3249.19,3251.65,3228.66,3224.09,1825810.75,-24.77,-0.76,3249.604,3235.06,3200.791,1994588.17,2102936.1,1799360.99
2017-02-24,3246.86,3253.96,3253.43,3233.53,1864063.62,2.05,0.06,3251.864,3233.878,3196.196,2093730.22,2140546.53,1774400.65
2017-02-23,3258.83,3264.08,3251.38,3236.35,2091798.0,-9.84,-0.3,3241.594,3228.205,3189.682,2173373.85,2193489.09,1742380.85
2017-02-22,3252.69,3261.38,3261.22,3243.84,2074537.75,7.89,0.24,3237.242,3221.385,3182.178,2188926.15,2175949.61,1699716.66
2017-02-21,3242.22,3254.34,3253.33,3239.88,2116730.75,13.37,0.41,3227.596,3211.961,3174.767,2257034.0,2113416.03,1661879.84
2017-02-20,3198.96,3241.46,3239.96,3198.96,2321521.0,37.88,1.18,3220.516,3201.937,3167.539,2211284.03,2030080.39,1624122.23
2017-02-17,3227.71,3238.4,3202.08,3199.42,2262281.75,-27.54,-0.85,3215.892,3193.639,3160.713,2187362.83,1925126.58,1636989.18
2017-02-16,3210.36,3230.28,3229.62,3207.79,2169559.5,16.63,0.52,3214.816,3187.448,3156.247,2213604.33,1791123.14,1602012.2
2017-02-15,3215.46,3236.0,3212.99,3206.56,2415077.0,-4.94,-0.15,3205.528,3180.403,3150.73,2162973.08,1688043.97,1567978.85
2017-02-14,3216.14,3219.4,3217.93,3205.29,1887980.88,1.09,0.03,3196.326,3174.059,3146.918,1969798.05,1558610.09,1536406.11
2017-02-13,3198.99,3219.41,3216.84,3198.99,2201915.0,20.14,0.63,3183.358,3166.521,3144.105,1848876.75,1495785.88,1531886.67
2017-02-10,3183.01,3205.05,3196.7,3182.8,2393489.25,13.52,0.42,3171.386,3158.514,3141.825,1662890.33,1408254.77,1507647.96
2017-02-09,3164.69,3186.84,3183.18,3162.57,1916403.25,16.2,0.51,3160.08,3151.158,3139.706,1368641.95,1291272.61,1479827.98
2017-02-08,3148.09,3167.45,3166.98,3132.03,1449201.88,13.89,0.44,3155.278,3142.97,3138.817,1213114.85,1223483.71,1471371.64
2017-02-07,3154.4,3159.54,3153.09,3140.04,1283374.38,-3.89,-0.12,3151.792,3137.573,3138.408,1147422.13,1210343.65,1482841.97
2017-02-06,3143.09,3158.84,3156.98,3135.39,1271982.88,16.81,0.54,3149.684,3133.141,3137.55,1142695.0,1218164.08,1489456.84
2017-02-03,3160.08,3162.68,3140.17,3136.01,922247.38,-19.0,-0.6,3145.642,3127.786,3134.882,1153619.2,1348851.79,1492491.26
2017-01-26,3149.22,3163.1,3159.17,3148.91,1138767.75,9.62,0.3,3142.236,3125.045,3132.679,1213903.28,1412901.26,1512690.54
2017-01-25,3137.65,3151.47,3149.55,3133.19,1120738.25,7.0,0.22,3130.662,3121.057,3129.832,1233852.58,1447913.73,1523615.69
2017-01-24,3134.59,3149.53,3142.55,3131.22,1259738.75,5.78,0.18,3123.354,3119.777,3128.088,1273265.18,1514202.13,1538343.25
2017-01-23,3125.42,3145.84,3136.77,3125.42,1326603.88,13.63,0.44,3116.598,3121.689,3127.089,1293633.15,1567987.46,1551642.25
2017-01-20,3095.82,3125.66,3123.14,3095.21,1223667.75,21.84,0.7,3109.93,3125.136,3125.758,1544084.37,1607041.15,1568400.44
2017-01-19,3104.97,3115.78,3101.3,3094.01,1238514.25,-11.71,-0.38,3107.854,3128.254,3126.579,1611899.25,1668383.34,1591119.55
2017-01-18,3104.77,3123.72,3113.01,3098.59,1317801.25,4.24,0.14,3111.452,3134.665,3128.385,1661974.87,1719259.56,1622547.14
2017-01-17,3087.03,3108.91,3108.77,3072.34,1361578.62,5.34,0.17,3116.2,3139.243,3127.879,1755139.07,1755340.29,1635370.46
2017-01-16,3104.49,3105.14,3103.43,3044.29,2578860.0,-9.33,-0.3,3126.78,3141.958,3128.345,1842341.77,1760749.61,1644376.39
2017-01-13,3116.08,3130.51,3112.76,3102.16,1562742.12,-6.53,-0.21,3140.342,3141.979,3129.322,1669997.92,1636130.74,1597927.74
2017-01-12,3133.6,3144.97,3119.29,3115.98,1488892.38,-17.46,-0.56,3148.654,3140.313,3129.568,1724867.42,1612479.81,1614785.94
2017-01-11,3156.69,3167.03,3136.75,3136.27,1783622.25,-24.92,-0.79,3157.878,3138.608,3130.63,1776544.25,1599317.66,1641020.77
2017-01-10,3167.57,3174.58,3161.67,3157.33,1797592.12,-9.57,-0.3,3162.286,3136.399,3131.545,1755541.5,1562484.38,1644421.91
2017-01-09,3148.53,3173.14,3171.24,3147.74,1717140.75,16.92,0.54,3157.136,3132.489,3131.109,1679157.45,1535297.04,1691896.53
2017-01-06,3163.78,3172.03,3154.32,3153.03,1837089.62,-11.09,-0.35,3143.616,3126.38,3134.192,1602263.55,1529759.74,1708051.46
2017-01-05,3157.91,3168.5,3165.41,3154.28,1747276.5,6.62,0.21,3131.972,3124.904,3137.244,1500092.2,1513855.77,1701552.07
2017-01-04,3133.79,3160.1,3158.79,3130.11,1678608.5,22.87,0.73,3119.338,3122.106,3140.086,1422091.08,1525834.73,1698724.67
2017-01-03,3105.31,3136.46,3135.92,3105.31,1415671.88,32.28,1.04,3110.512,3116.515,3142.129,1369427.25,1515400.64,1693580.59
